"","wind_1_coefficients","wind_2_coefficients","wind_3_coefficients","wind_1_coefficients_lower_CI","wind_1_coefficients_upper_CI","wind_2_coefficients_lower_CI","wind_2_coefficients_upper_CI","wind_3_coefficients_lower_CI","wind_3_coefficients_upper_CI","slides_1_coefficients","slides_2_coefficients","slides_3_coefficients","slides_1_coefficients_lower_CI","slides_1_coefficients_upper_CI","slides_2_coefficients_lower_CI","slides_2_coefficients_upper_CI","slides_3_coefficients_lower_CI","slides_3_coefficients_upper_CI"
"12",-12.1835293502908,-8.91925737322579,-27.2509514471455,-48.3080006811419,23.9409419805603,-38.1859372966755,20.3474225502239,-115.344864128732,60.8429612344413,109.090304212749,82.2037899834835,235.263389617485,-49.631185159487,267.811793584985,-43.368278890671,207.775858857638,-107.992391182848,578.519170417818
"13",-6.68138762644185,-8.93121149500736,-33.0727321587718,-42.8941639067359,29.5313886538522,-38.1988198985584,20.3363969085436,-119.935655590448,53.7901912729046,131.978403136682,82.2254523510957,268.36425386548,-29.4889519784898,293.445758251853,-43.3123481991481,207.76325290134,-65.8743003145479,602.602808045508
"14",-11.668837305107,-8.9284387888024,-32.7966594765371,-47.0748655423812,23.7371909321672,-38.1962897714623,20.3394121938575,-128.315429012904,62.7221100598293,110.79839168749,82.228287261161,269.972103605257,-41.6861243092341,263.282907684214,-43.3331129764241,207.789687498746,-111.404495325111,651.348702535625
"15",-6.28640963716799,-8.92107894789167,-40.1050166461136,-46.9705625821861,34.3977433078501,-38.190996430859,20.3488385350756,-131.11460079893,50.9045675067026,117.949251533962,82.2219212426235,206.314910130819,-62.4305836701269,298.329086738051,-43.3380187247253,207.781861209972,-159.945095309609,572.574915571247
"16",-8.64540235270607,-8.91672500133115,-30.3613783591691,-47.4293501697883,30.1385454643762,-38.1851986802888,20.3517486776265,-118.581602720651,57.858846002313,119.003744936967,82.2170825999609,251.771194680769,-51.5229191515838,289.530409025517,-43.3387814277134,207.772946627635,-105.511868985509,609.054258347047
"17",-11.1153837369068,-8.93054899347718,-32.6966886831407,-49.2264726633669,26.9957051895532,-38.1941880769064,20.3330900899521,-127.855821487528,62.4624441212467,119.168432661737,82.2111075077651,236.799021800842,-50.3360165943962,288.67288191787,-43.3449156424584,207.767130657989,-142.823269143114,616.421312744797
"18",-7.58135934562296,-8.92536456303876,-36.0591191335235,-47.4374266219957,32.2747079307498,-38.1942278566329,20.3434987305554,-125.902722007358,53.7844837403115,117.169630815515,82.2525794927891,243.998683542519,-59.1820530811138,293.521314712143,-43.2941627950838,207.799321780662,-106.812787051938,594.810154136975
"19",-9.34362617707439,-8.91574852310242,-34.9029176771386,-44.488603026715,25.8013506725662,-38.1842957139562,20.3527986677513,-128.777273535653,58.9714381813753,107.020741946331,82.2755062450521,225.986626756184,-50.0860625586387,264.127546451301,-43.2791473597245,207.830159849829,-140.915317610964,592.888571123332
"20",-6.21593302590216,-8.919393396,-32.1676924488227,-43.9166182241639,31.4847521723596,-38.182818319679,20.344031527679,-119.683486246224,55.3481013485787,115.971873515598,82.2119772695597,261.605181294082,-47.8188789517308,279.762625982927,-43.3376719646797,207.761626503799,-72.9211451479271,596.131507736091
"21",-8.23760474995853,-8.92610532224157,-35.5656851261506,-45.4118496313694,28.9366401314523,-38.1915876113835,20.3393769669004,-124.419500315848,53.2881300635469,113.369385939059,82.222410290873,248.078409091688,-49.8556730846733,276.594444962792,-43.3328790514,207.777699633146,-108.767476176474,604.92429435985
